sprecher,situation,value,dialekt
KFALT3,FG,2.5,Swabian
KFALT3,Interview,1.5,Swabian
KFALT3,Nordwind,1.1,Swabian
KFALT3,WS_Dialekt,2.7,Swabian
KFALT3,WS_Standard,1.1,Swabian
KF1,FG,1.9,Swabian
KF1,Interview,1.8,Swabian
KF1,Nordwind,1.1,Swabian
KF1,WS_Dialekt,2.6,Swabian
KF1,WS_Standard,1.0,Swabian
KFJUNG1,FG,1.0,Swabian
KFJUNG1,Interview,1.1,Swabian
KFJUNG1,Nordwind,0.8,Swabian
KFJUNG1,WS_Dialekt,2.2,Swabian
KFJUNG1,WS_Standard,0.7,Swabian
BLALT1,FG,2.4,Swabian
BLALT1,Interview,2.2,Swabian
BLALT1,Nordwind,1.5,Swabian
BLALT1,WS_Dialekt,2.7,Swabian
BLALT1,WS_Standard,1.3,Swabian
BL2,FG,2.2,Swabian
BL2,Interview,2.0,Swabian
BL2,Nordwind,1.1,Swabian
BL2,WS_Dialekt,2.5,Swabian
BL2,WS_Standard,0.8,Swabian
BLJUNG1,FG,1.4,Swabian
BLJUNG1,Interview,1.2,Swabian
BLJUNG1,Nordwind,1.0,Swabian
BLJUNG1,WS_Dialekt,2.2,Swabian
BLJUNG1,WS_Standard,0.9,Swabian
WNALT1,FG,2.5,Swabian
WNALT1,Interview,1.4,Swabian
WNALT1,Nordwind,1.3,Swabian
WNALT1,WS_Dialekt,2.5,Swabian
WNALT1,WS_Standard,1.1,Swabian
WN3,FG,2.3,Swabian
WN3,Interview,2.0,Swabian
WN3,Nordwind,1.0,Swabian
WN3,WS_Dialekt,2.5,Swabian
WN3,WS_Standard,0.8,Swabian
WNJUNG1,FG,1.4,Swabian
WNJUNG1,Interview,1.2,Swabian
WNJUNG1,Nordwind,1.1,Swabian
WNJUNG1,WS_Dialekt,2.3,Swabian
WNJUNG1,WS_Standard,1.0,Swabian
ULALT1,FG,2.4,Swabian
ULALT1,Interview,2.1,Swabian
ULALT1,Nordwind,1.1,Swabian
ULALT1,WS_Dialekt,2.6,Swabian
ULALT1,WS_Standard,1.4,Swabian
UL1,FG,2.3,Swabian
UL1,Interview,1.7,Swabian
UL1,Nordwind,1.1,Swabian
UL1,WS_Dialekt,2.3,Swabian
UL1,WS_Standard,0.9,Swabian
ULJUNG2,FG,2.1,Swabian
ULJUNG2,Interview,1.9,Swabian
ULJUNG2,Nordwind,1.0,Swabian
ULJUNG2,WS_Dialekt,2.4,Swabian
ULJUNG2,WS_Standard,1.1,Swabian
DLGALT2,FG,2.3,Swabian
DLGALT2,Interview,1.6,Swabian
DLGALT2,Nordwind,1.0,Swabian
DLGALT2,WS_Dialekt,2.3,Swabian
DLGALT2,WS_Standard,1.4,Swabian
